arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_full	PRAD	SRP212704	SRP119917	-1	16315	16515	16788	1691	932	0.4033116499112951	0.40094618568894147	9262	5734	0.5147916216799827	0.5112286763118117	1698	971	0.41460541813898705	0.4110718492343934	100	100	0.24	0.24	500	500	0.38	0.38	100	100	0.56	0.56	500	500	0.52	0.518	0.960969840331165	0.6877587226493199	0.6848018923713779	0.9036918138041733	0.8988377500800532	1.3703430163553276	0.34407827868479746	0.7832413401478828	0.804132914762635	0.7980125760460274	0.7993257738277658	ok
cross_full	PRAD	SRP212704	SRP118614	-1	16345	16515	17845	1706	707	0.28194607268464245	0.27432590855803046	9279	5746	0.46750727449078566	0.45565254876603084	1714	750	0.29638273045507585	0.28763127187864646	100	100	0.11	0.11	500	500	0.212	0.212	100	100	0.27	0.27	500	500	0.37	0.36	0.8405627198124267	0.5175849941383353	0.5023446658851114	0.7015059969338984	0.7137254352783536	1.3690952569933055	0.4786882566186236	0.630378313210357	0.6773965308608227	0.6418616707987703	0.7413888039155705	ok
cross_full	LIHC	SRP050551	SRP062885	-1	15730	15968	16024	2989	3603	0.617932418869187	0.6092338574774172	6288	7896	0.6750954198473282	0.6583969465648855	3251	3759	0.6311904029529376	0.613349738541987	100	100	0.19	0.19	500	500	0.334	0.334	100	100	0.44	0.44	500	500	0.508	0.506	0.9200401472064236	0.7413850786216126	0.7303445968551355	0.8621612579458013	1.3136533902744427	1.599121489707999	0.17851557950464603	0.668256076017531	0.6850772947490311	0.7286494696806031	0.7563890654799745	ok
cross_full	LIHC	SRP050551	SRP118972	-1	15767	15968	16010	3001	2017	0.44951682772409196	0.4465178273908697	6299	3517	0.41308144149865056	0.4116526432767106	3279	2881	0.5818847209515096	0.5678560536749009	100	100	0.17	0.17	500	500	0.382	0.382	100	100	0.36	0.36	500	500	0.482	0.478	0.9446851049650117	0.49850049983338884	0.4955014995001666	0.8350549816727757	1.1599128757556183	1.6054650370838761	0.2775221826926526	0.7413495601646324	0.7675390652456987	0.7562354226923698	0.7917168770216274	ok
cross_full	LIHC	SRP050551	SRP137150	-1	15265	15968	15802	2843	3302	0.46851916989096026	0.455856489623637	6130	5052	0.4402936378466558	0.42479608482871123	3079	3939	0.5589477102955505	0.52582007145177	100	100	0.1	0.1	500	500	0.256	0.256	100	100	0.37	0.37	500	500	0.432	0.43	0.8758353851565248	0.5114315863524446	0.49806542384804786	0.7889553288779458	1.1491756908598627	1.5928209384346135	0.2785280108200704	0.543941116533973	0.5557951729387175	0.6045782091690575	0.6968883065836882	ok
cross_full	LIHC	SRP050551	SRP161530	-1	15488	15968	15823	2931	2835	0.6287956328897987	0.6267485499829409	6226	4789	0.558303886925795	0.5565371024734982	3171	3408	0.7038789025543992	0.6944181646168401	100	100	0.2	0.2	500	500	0.426	0.426	100	100	0.46	0.46	500	500	0.58	0.58	0.9604230638007506	0.6885022176731491	0.6864551347662914	0.8942340498123508	1.4537187785598813	1.5953272365709061	0.08876452101163068	0.7751414973736104	0.7973868436486788	0.8151147033446603	0.8078512396694215	ok
cross_full	LIHC	SRP161530	SRP062885	-1	15459	15823	16024	2813	3468	0.679701386420192	0.6740135087095628	4769	7741	0.7766827427133571	0.7712308660096456	3371	3609	0.6650845446455058	0.6549985167606052	100	100	0.36	0.36	500	500	0.456	0.456	100	100	0.53	0.53	500	500	0.62	0.62	0.9648062566654817	0.8162104514752933	0.8098115890508354	0.922680412371134	1.418352407221785	1.7062347353810376	0.16872375306259513	0.7386168344946158	0.7591378590059052	0.7969706281015124	0.7863380555016495	ok
cross_full	LIHC	SRP161530	SRP050551	-1	15488	15823	15968	2835	2931	0.6500881834215168	0.6479717813051147	4789	6226	0.7258300271455419	0.7235330966798914	3408	3171	0.6549295774647887	0.6461267605633803	100	100	0.2	0.2	500	500	0.426	0.426	100	100	0.46	0.46	500	500	0.58	0.58	0.9633156966490299	0.780952380952381	0.7777777777777778	0.928042328042328	1.343297601571635	1.713934212295969	0.21624902990169792	0.7751414973736104	0.7973868436486788	0.8151147033446603	0.8078512396694215	ok
cross_full	LIHC	SRP161530	SRP118972	-1	15494	15823	16010	2826	1960	0.45293701344656756	0.4508138711960368	4782	3459	0.45399414470932664	0.4523212045169385	3400	2768	0.5576470588235294	0.5452941176470588	100	100	0.35	0.35	500	500	0.412	0.412	100	100	0.4	0.4	500	500	0.572	0.572	0.9455060155697098	0.5169851380042463	0.5148619957537155	0.8281265797189363	1.1450525558031805	1.709336108057257	0.33011854695763254	0.7129906132057615	0.7322045641134578	0.7616939743904576	0.7785594423647864	ok
cross_full	LIHC	SRP161530	SRP137150	-1	15176	15823	15802	2773	3300	0.5196538045438154	0.5142445005409304	4731	5050	0.5191291481716339	0.5106742760515747	3282	3914	0.5813528336380256	0.5618525289457648	100	100	0.22	0.22	500	500	0.354	0.354	100	100	0.36	0.36	500	500	0.498	0.494	0.9177785791561486	0.568698160836639	0.561846375766318	0.8329126096886645	1.2516734990436202	1.7014306857770416	0.264340587302866	0.6072294754759225	0.6188660714060512	0.6714935762168257	0.7233790195044808	ok
cross_full	STAD	TCGA-STAD	SRP172499	-1	17065	17534	17152	3414	2180	0.3670181605155243	0.3186877562975981	10972	11159	0.6934925264309151	0.5746445497630331	3423	2181	0.3672217353198948	0.31814198071866784	100	100	0.24	0.24	500	500	0.212	0.212	100	100	0.33	0.32	500	500	0.374	0.334	0.7539543057996485	0.7521968365553603	0.6195079086115993	0.8520796719390744	0.7537742358403743	1.5866565175006393	0.5249291654959148	0.476159225360906	0.5332548315831832	0.48511771342066906	0.6861412247289774	ok
cross_full	STAD	TCGA-STAD	SRP133891	-1	16771	17534	16820	3289	2355	0.4572818485861964	0.432350258437215	10798	9501	0.6265049083163549	0.5614928690498241	3297	2393	0.46527145890203214	0.4385805277525023	100	100	0.33	0.33	500	500	0.412	0.412	100	100	0.41	0.41	500	500	0.478	0.456	0.8355123137731834	0.7017330495591365	0.6424445120097294	0.8198540589844937	0.9337806714168292	1.574409230155366	0.4069009165268411	0.5854864109665884	0.6113645533887857	0.6401901837147819	0.7150438256514221	ok
cross_full	STAD	SRP172499	TCGA-STAD	-1	17065	17152	17534	2180	3414	0.5747706422018348	0.4990825688073395	11159	10972	0.6818711354063984	0.5650147862711713	2181	3423	0.5763411279229711	0.49931224209078406	100	100	0.24	0.24	500	500	0.212	0.212	100	100	0.33	0.32	500	500	0.374	0.334	0.8	0.7545871559633027	0.6559633027522935	0.8458715596330275	1.2067956217538658	1.5345797291431635	0.21359861671854408	0.476159225360906	0.5332548315831832	0.48511771342066906	0.6861412247289774	ok
