arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_m10	LIHC	SRP161530	SRP174991	3	15386	15823	15733	2779	1594	0.3911478949262325	0.388629003238575	4734	2849	0.38339670468948034	0.38191803971271654	3332	2310	0.4891956782713085	0.47869147659063627	100	100	0.17	0.17	500	500	0.344	0.344	100	100	0.43	0.43	500	500	0.53	0.53	0.9395465994962217	0.4695933789132782	0.4670744872256207	0.8108260936616459	1.0182991085199558	1.6994184114311546	0.40079553000582036	0.665445905588831	0.6716205587317258	0.7432918782392206	0.7434680878720915	ok
cross_m10	LIHC	SRP161530	SRP174991	4	15386	15823	15733	2779	2311	0.5570349046419575	0.5563152213026269	4735	3984	0.5372756071805702	0.5362196409714889	3332	2782	0.5975390156062425	0.5900360144057623	100	100	0.27	0.27	500	500	0.432	0.432	100	100	0.47	0.47	500	500	0.59	0.59	0.964735516372796	0.6739834472831954	0.6732637639438647	0.8838225466509021	1.2379971438569302	1.6994184114618351	0.27151716404436954	0.7359301630943815	0.7482696109965743	0.8023689221387114	0.7775250227479527	ok
cross_m10	PRAD	SRP002628	SRP212704	1	15599	15696	16515	600	1691	0.5983333333333334	0.5983333333333334	1310	5648	0.6969465648854962	0.6954198473282442	1130	1789	0.5893805309734513	0.5769911504424778	100	100	0.02	0.02	500	500	0.114	0.114	100	100	0.29	0.29	500	500	0.25	0.25	0.9633333333333334	0.7566666666666667	0.7566666666666667	0.8871794871794871	1.1760090062351862	1.311564812314188	0.10335425653866137	0.5766615189636556	0.582708950985987	0.6469621321352858	0.6926726072184114	ok
cross_m10	PRAD	SRP002628	SRP212704	2	15599	15696	16515	1148	1706	0.5810104529616724	0.5792682926829268	2773	5170	0.6718355571583123	0.6696718355571583	1537	1860	0.6102797657774887	0.6018217306441119	100	100	0.05	0.05	500	500	0.214	0.214	100	100	0.33	0.33	500	500	0.368	0.368	0.9668989547038328	0.7534843205574913	0.75	0.9094076655052264	1.1876065180325244	1.3450969326311841	0.11708480688494927	0.6253386269951005	0.6452618222816051	0.6943357384746582	0.7083787422270659	ok
cross_m10	PRAD	SRP002628	SRP212704	3	15599	15696	16515	3	1589	0.6666666666666666	0.6666666666666666	3	6126	1.0	1.0	529	1723	0.6899810964083176	0.6729678638941399	100	100	0.07	0.07	500	500	0.142	0.142	3	100	0.0	0.0	3	500	0.0	0.0								0.66528607408146	0.6684268713015858	0.6874453080754298	0.7390858388358228	ok
cross_m10	PRAD	SRP002628	SRP212704	4	15599	15696	16515	2	1729	0.0	0.0	2	5317	0.5	0.5	418	1840	0.6961722488038278	0.6842105263157895	100	100	0.04	0.04	500	500	0.09	0.09	2	100	0.0	0.0	2	500	0.0	0.0								0.5884092050560475	0.5898646574530653	0.6442285314468832	0.6944675940765433	ok
cross_m10	LUNG	SRP074349	SRP125001	4	13670	15756	13908	2933	1808	0.13228775997272418	0.10501193317422435	5798	1809	0.1360814073818558	0.09417040358744394	3151	5335	0.4084417645192003	0.292922881624881	100	100	0.01	0.01	500	500	0.086	0.086	100	100	0.15	0.15	500	500	0.156	0.152	0.6017729287419025	0.13228775997272418	0.10501193317422435	0.43987141395937823	0.7932719464858768	1.5432233611004955	0.48596427031782174	0.07493465206609207	0.05777953025937327	0.18240796809447796	0.517629846378932	ok
cross_m10	LUNG	SRP125001	SRP074349	0	14175	14480	15756	95	2770	0.7368421052631579	0.7368421052631579	95	5945	0.8210526315789474	0.8210526315789474	2297	2977	0.42490204614714844	0.3952982150631258	100	100	0.11	0.11	500	500	0.184	0.184	95	100	0.06315789473684211	0.06315789473684211	95	500	0.3473684210526316	0.3473684210526316	0.968421052631579	0.8210526315789474	0.8210526315789474	0.9473684210526315	1.9175062751665872	2.716171340346327	0.294040752627154	0.3679090798107072	0.38378696745509866	0.4489407613706554	0.6312522045855379	ok
cross_m10	LUNG	SRP125001	SRP074349	1	12891	13049	15756	154	2284	0.5064935064935064	0.5064935064935064	154	5087	0.7272727272727273	0.7012987012987013	2450	2449	0.29346938775510206	0.26653061224489794	100	100	0.06	0.06	500	500	0.132	0.132	100	100	0.11	0.11	154	500	0.22727272727272727	0.22727272727272727	0.8506493506493507	0.7272727272727273	0.7012987012987013	0.99999999	1.1154806990485016	2.142367738906204	0.47932342389639626	0.29331327438688837	0.2990786845647185	0.3663313160678891	0.602590954929796	ok
cross_m10	LUNG	SRP125001	SRP074349	2	14173	14480	15756	64	2498	0.53125	0.46875	64	5872	0.609375	0.53125	2376	2682	0.3261784511784512	0.2222222222222222	100	100	0.0	0.0	500	500	0.046	0.044	64	100	0.078125	0.0625	64	500	0.1875	0.171875	0.84375	0.609375	0.53125	0.99999999	1.3390064060620634	3.237704211801274	0.5864333742466498	0.09355398380396539	0.09473881412589347	0.16552915127990783	0.5325619134974953	ok
cross_m10	PRAD	SRP002628	SRP027258	3	13975	15696	14504	3	4379	1.0	1.0	3	8295	1.0	1.0	303	4650	0.801980198019802	0.6006600660066007	100	100	0.07	0.06	500	500	0.102	0.086	3	100	0.0	0.0	3	500	0.0	0.0								0.2054286617898116	0.20687662734279894	0.23051545500791598	0.5718783542039356	ok
